Data,Contatto Connettore Interno,Cavo Connettore Interno,Contatto Connettore Esterno,Cavo Splitter,Tamb Interna,Tamb Esterna
2022-04-14 14:48:35.442400,32.788,33.673,31.874,31.858,27.133,24.012
2022-04-14 14:48:45.800400,32.767,33.681,31.864,31.845,27.128,24.018
2022-04-14 14:48:56.155400,32.783,33.686,31.856,31.861,27.159,24.015
2022-04-14 14:49:07.897400,32.796,33.689,31.848,31.851,27.172,24.033
2022-04-14 14:49:18.252400,32.793,33.691,31.864,31.851,27.183,24.018
2022-04-14 14:49:28.607400,32.775,33.683,31.848,31.845,27.17,24.041
2022-04-14 14:49:38.962400,32.79,33.702,31.856,31.861,27.191,24.026
2022-04-14 14:49:49.317400,32.79,33.71,31.848,31.851,27.222,24.033
2022-04-14 14:49:59.672400,32.79,33.699,31.864,31.861,27.214,24.031
2022-04-14 14:50:10.028400,32.804,33.681,31.864,31.848,27.214,24.036
2022-04-14 14:50:20.384400,32.777,33.699,31.827,31.879,27.206,24.02
2022-04-14 14:50:30.739400,32.814,33.704,31.853,31.851,27.235,24.033
2022-04-14 14:50:41.095400,32.822,33.719,31.852,31.883,27.24,24.043
2022-04-14 14:50:52.869400,32.809,33.711,31.862,31.873,27.261,24.015
2022-04-14 14:51:03.224400,32.876,33.775,31.917,31.92,27.282,24.037
2022-04-14 14:51:13.580400,32.827,33.735,31.865,31.925,27.274,24.042
2022-04-14 14:51:23.940400,32.876,33.773,31.896,31.943,27.313,24.045
2022-04-14 14:51:34.295400,32.863,33.778,31.888,31.935,27.319,24.057
2022-04-14 14:51:44.650400,32.853,33.777,31.892,31.937,27.321,24.049
2022-04-14 14:51:55.005400,32.855,33.776,31.893,31.938,27.337,24.063
2022-04-14 14:52:05.360400,32.866,33.764,31.9,31.926,27.316,24.071
2022-04-14 14:52:15.719400,32.85,33.754,31.908,31.947,27.303,24.084
2022-04-14 14:52:26.074400,32.848,33.767,31.889,31.934,27.311,24.065
2022-04-14 14:52:37.945400,32.834,33.769,31.897,31.95,27.329,24.072
2022-04-14 14:52:48.302400,32.853,33.777,31.887,31.932,27.332,24.062
2022-04-14 14:52:58.657400,32.837,33.777,31.9,31.934,27.329,24.057
2022-04-14 14:53:09.012400,32.85,33.751,31.897,31.937,27.337,24.059
2022-04-14 14:53:19.369400,32.855,33.748,31.879,31.918,27.298,24.07
2022-04-14 14:53:29.724400,32.853,33.748,31.892,31.929,27.298,24.072
2022-04-14 14:53:40.079400,32.842,33.725,31.884,31.921,27.279,24.041
2022-04-14 14:53:50.436400,32.832,33.725,31.897,31.913,27.243,24.036
2022-04-14 14:54:00.793400,32.837,33.733,31.895,31.926,27.243,24.049
2022-04-14 14:54:11.149400,32.837,33.738,31.905,31.903,27.227,24.036
2022-04-14 14:54:22.891400,32.827,33.727,31.923,31.908,27.201,24.046
2022-04-14 14:54:33.248400,32.834,33.719,31.905,31.903,27.216,24.067
2022-04-14 14:54:43.603400,32.845,33.738,31.895,31.895,27.232,24.085
2022-04-14 14:54:53.958400,32.834,33.735,31.897,31.895,27.229,24.088
2022-04-14 14:55:04.312400,32.827,33.733,31.934,31.905,27.222,24.08
2022-04-14 14:55:14.667400,32.816,33.717,31.91,31.897,27.188,24.091
2022-04-14 14:55:25.021400,32.84,33.709,31.9,31.884,27.182,24.106
2022-04-14 14:55:35.376400,32.824,33.733,31.889,31.895,27.201,24.096
2022-04-14 14:55:45.732400,32.816,33.712,31.871,31.879,27.18,24.067
2022-04-14 14:55:56.087400,32.8,33.691,31.879,31.905,27.193,24.075
2022-04-14 14:56:07.817400,32.798,33.678,31.863,31.882,27.151,24.062
2022-04-14 14:56:18.186400,32.819,33.706,31.908,31.887,27.164,24.051
2022-04-14 14:56:28.544400,32.806,33.704,31.876,31.866,27.151,24.075
2022-04-14 14:56:38.899400,32.816,33.701,31.874,31.874,27.153,24.07
2022-04-14 14:56:49.255400,32.827,33.672,31.876,31.879,27.143,24.075
2022-04-14 14:56:59.610400,32.813,33.704,31.889,31.866,27.127,24.051
2022-04-14 14:57:09.971400,32.808,33.706,31.863,31.879,27.119,24.059
2022-04-14 14:57:20.326400,32.816,33.696,31.895,31.871,27.122,24.057
2022-04-14 14:57:30.681400,32.824,33.701,31.871,31.853,27.122,24.062
2022-04-14 14:57:41.044400,32.811,33.717,31.866,31.861,27.085,24.038
2022-04-14 14:57:52.858400,32.803,33.709,31.884,31.853,27.088,24.051
2022-04-14 14:58:03.213400,32.824,33.726,31.896,31.886,27.14,24.059
2022-04-14 14:58:13.569400,32.821,33.715,31.867,31.891,27.148,24.087
